label,X_proj,Y_proj,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best
1,4729867.986023656,2105466.1938139773,14.797662462877785,44.41272542906015,5.726503049293159,1063.7549439282425,3645.555733719054,197.1081946673258,0.0997077614292564,0.2551000307561897,1.0433898963155286,19.8670749834472
1,4729707.053927158,2105469.4392376193,14.153497608579045,44.40133965199534,5.650832099844947,1057.3314124601618,3640.7740374042414,196.5992921926685,0.0997242811265305,0.2506827624630722,1.043011643447685,19.861763605575643
1,4729631.092246059,2105504.5557929436,13.951129771552026,44.39735976759338,5.601494638966513,1055.6482108887242,3637.727117530931,195.5069438842118,0.0997353564925414,0.249424540981437,1.0426981677268248,19.856569345983544
1,4729846.078278979,2105511.1757441424,14.846713937864363,44.4130386492325,5.698222718527132,1065.1961931769338,3643.907947205089,195.9939649368509,0.0997140969499003,0.256327643637799,1.0431768840366529,19.863138026985474
1,4729557.197790863,2105528.7159578283,13.72246418577431,44.39306935348555,5.557591720412837,1053.3898768760748,3438.565980840072,194.6618316218731,0.0997452989459292,0.2476734993770431,1.0384265885113724,19.820116443628475
1,4729644.180211166,2105534.589506865,14.1060442523269,44.39954315004161,5.595249459225304,1057.5756301877657,3637.449204051315,194.84727565738496,0.0997367632676009,0.2508247766370535,1.0426174058662894,19.85477011546377
1,4729776.187878893,2105538.3070117906,14.65436914373868,44.40916183246386,5.654841396642016,1063.6110377571604,3641.265954684536,195.1811708668481,0.0997236036243435,0.2554959605090116,1.0429179194906384,19.85893648990921
1,4729663.190717954,2105576.5456993515,14.325379771285256,44.40265115157051,5.586970795601372,1060.3834662434735,3637.0868701143545,193.95364860472367,0.0997386313837221,0.2530563961658797,1.0425074275594506,19.8523035636974
1,4729728.192604618,2105577.412749433,14.589750233150776,44.40735225345163,5.616776843315234,1063.422295958014,3638.990038129656,194.1502654767766,0.0997320437790025,0.2554204417694695,1.0426611605063358,19.854473482157
1,4729802.237709942,2105594.28287961,14.935995561341793,44.41337619434904,5.644464972303041,1067.664362317477,3640.78560113221,193.9980796017664,0.099726075966762,0.2587285771495792,1.042773876715397,19.85570602425242
1,4729819.22314666,2105598.312485757,15.01460128851314,44.41476586909379,5.6507796926753375,1068.6494922230593,3641.1907152564686,193.9572222444729,0.0997247347251567,0.2594954164580873,1.042798657585398,19.85596866082242
1,4730720.712304187,2105642.782853119,17.99613777658932,44.48162923374451,6.061452244096623,1104.8753202097994,3664.763728510024,192.1110471414108,0.0960890957203381,0.2811269986993321,1.0444157126673497,19.876448393726847
1,4729725.377108854,2105656.3878311855,14.843064947337796,44.41045547666344,5.583719814316604,1067.2915438543962,3637.17654216099,192.4225399510578,0.0997394574803201,0.2585496420067728,1.042364963277037,19.84858916721191
1,4729723.3286136715,2105672.431616443,14.88980337428361,44.410981028836645,5.576342588377045,1068.023167553077,3636.76794319264,189.74764527859253,0.0997411010195114,0.2591443082965368,1.042301497046407,19.847346903882865
1,4730912.695184433,2105668.5120669906,18.472622872013652,44.49662992132754,6.144662138744013,1108.0584426351322,3982.763345851275,191.4394069720852,0.0972613992042988,0.2826526696571148,1.0715114267182368,19.9783792575708
1,4729689.409364711,2105678.41782491,14.779111335836957,44.408790893002994,5.558091571166679,1066.632255562224,3438.6670696119977,189.4928654209253,0.0997451080815934,0.2580612548900859,1.0382173016804312,19.8142216176228
1,4730082.620936323,2106162.7049512467,17.702763692179726,44.458033230062206,5.560218133499351,1124.1446722806843,3438.193291318925,183.629799757797,0.0997472377357532,0.3040396072512384,1.037467855016562,19.79437962400386
1,4722629.177862668,2106397.8423282676,50.6486637559739,43.96344127207797,3.023901620158192,638.7997394956458,2968.283366582626,175.70847495753995,0.7680991679550825,0.1520258161161056,0.9504599828253664,18.30355554858169
1,4721777.305367407,2113905.676585101,57.11085365385632,44.28207915701948,1.9546745532719485,785.6454202742044,2632.169839001374,104.84223809396974,1.237122051086485,0.0994120971458529,0.9426086954961,18.08335590681345
1,4733760.26581037,2115202.018785852,55.98156166562138,45.270985228870735,6.676607983422363,1038.92961893652,824.9903951917952,180.0548447299649,1.3631298024620304,0.1252064028833374,1.0264707223497878,2.1971634463560603
1,4733000.446312902,2116333.3106507133,47.11486714607192,45.29400838406231,6.485128749416575,969.8665713825576,800.5915618006708,206.32850726731587,1.2899933540409,0.1283856255782753,1.0184188142983497,1.0595319804223642
1,4733215.402622611,2116431.7167863883,47.561068797127774,45.31791317125016,6.5959065390355445,979.317448788723,470.6417425767075,201.9879811415607,1.2931307161564622,0.1264538882737022,1.019000610441068,0.921816103668977
1,4733027.9175237045,2116713.9798988113,46.26148438214904,45.324331830887004,6.561075510439979,946.5878485908988,469.3259321376812,208.3213339889945,1.30024570349933,0.1267979394749128,1.0180605710995103,0.9196354338925096
1,4710245.0494621545,2116845.8881870224,100.52250203080104,43.95857476438998,6.874895070780744,622.05189266682,481.3830635159165,126.56031841205194,2.060162617152369,0.1017138433801534,0.0671167714024807,1.24029086812241
1,4704810.9786324445,2120056.523350907,95.51760984444547,43.86918778247813,8.523335095964365,716.5842139714134,195.59749917998937,122.70301456429551,1.1694280993475936,0.0965353898228965,4.539490535558659e-05,0.4666109784637205
1,4713714.3245375585,2120419.358532847,113.18030033810224,44.35387535767895,6.621499841560105,478.26287370962353,425.7047410294219,221.9798388286658,1.8610434256665835,0.0751610224853188,0.0563747635900816,1.095113850422854
1,4699740.070577554,2130617.054380856,58.16416090149967,44.128385026337696,10.01330706499281,720.537424358262,178.9229905100345,173.17781368111946,0.051146506968749,0.1612867910638976,6.655320544988647e-05,0.4289139549389582
1,4760388.966181505,2130721.745842668,205.4903432629495,48.26900944887503,14.081789925370376,633.4243850739844,268.3409663278967,103.69335587532872,0.0815250834049926,0.1517530088239635,0.0025131753120576,0.3233371207961671
1,4706983.616941844,2131416.6539194337,52.56211696223811,44.671204510907344,9.546497637246937,928.3548224499758,173.03456929808752,111.34374668560484,0.0469027155140734,0.100978721357611,7.198795923652977e-05,0.3319167869022426
1,4756261.499320925,2131319.561485274,150.32557044992993,48.09541051505269,13.361658740387288,623.3744852732771,142.284956693878,120.4472422809735,0.2486882470465138,0.0978499052907296,0.0062137195857641,0.3752815558557638
1,4700976.116974898,2131533.9020865527,58.78112392996511,44.26265263056391,10.011080513077308,1120.2454755214394,174.65798294692306,236.1034548786756,0.0496425983940546,0.1346935848259216,7.38262972241699e-05,0.3481333928887676
1,4705968.115019186,2131758.272062836,52.21198862115335,44.622446374595945,9.666940801344452,970.9138701696156,175.54833475197267,114.27128288615008,0.0471014751439996,0.092991510533591,7.262114614819945e-05,0.3301257916340508
1,4707386.272402215,2131998.9015249163,51.41861793153787,44.73637902461458,9.560521821692546,910.8923211692278,172.63569081792812,95.59309670831232,0.0414036613475875,0.1024456284553987,7.13737821566345e-05,0.3271111449914428
1,4705971.464631757,2132557.224888423,46.64136534887892,44.67250565785601,9.728101567774669,986.5819213354492,171.84170783597688,119.2409079761569,0.0399042513470558,0.1060800869993763,7.254667480282119e-05,0.3234214910130185
1,4707882.739083962,2132979.9584036623,44.69630470815077,44.83504472980804,9.595707116918636,869.173938220674,192.50387665985184,157.53823341724606,0.0390268171469305,0.1083385188958335,0.00010186880436,0.4280871708058514
1,4706990.508527129,2133198.3865743624,44.90827281162355,44.78555069125285,9.688450885961885,935.840494187479,168.3091995694701,140.46697915470577,0.0391061401578837,0.108261447151829,0.0001015114182944,0.5457056335769761
1,4700461.071250702,2133502.5678864256,55.765649821567926,44.33369303861471,10.145704070419752,1571.6749602834768,162.34974597903573,194.2479175733912,0.0448550250337744,0.1062856037878172,9.831081281545296e-05,0.2964807072262186
1,4700688.469661116,2136359.871196664,58.095852866309535,44.508663009288014,10.2367974969246,2414.086339804644,162.79833163731638,160.17743090440644,0.0373086323299884,0.1636740027055099,0.0001159175997054,0.4378044755380302
1,4698230.276197831,2137722.0477097235,55.788535663425705,44.39086757190549,10.340821605770492,569.8681658769476,163.034075003581,301.08198408402194,0.0341127814554477,0.1361605297832013,9.725889987353593e-05,0.351710289842407
1,4700852.846215678,2138479.392304676,62.8041820833495,44.64108143885943,10.25770248724569,1458.6937648831936,161.0771745332627,121.23368224531995,0.034696437882245,0.2306206935839256,0.0001146688849285,0.4985788517084188
1,4701468.253439073,2138599.41660036,65.8399585298973,44.6971992978733,10.230214377605932,1577.1128918666966,163.0385763701506,132.44800063904282,0.0349449848758372,0.2535402533523163,0.0001495814772078,0.7605434061718106
1,4703348.558581367,2138898.088052244,67.79672541548689,44.86552999720516,10.130516591786275,1279.9488931986757,160.6987525529415,236.02610476550927,1.094945959176418,0.2182801782491368,0.0001606395342692,0.5667462087466117
1,4693466.395657791,2140783.9867263297,54.302316917574935,44.15186681163704,10.35033844085846,489.7408685341416,190.33110936799304,630.5554980655759,0.0381248231532632,0.1239555098755374,5.227616013884633e-05,0.4243684362258767
1,4718308.271174325,2140779.889494815,63.42922364576685,46.19923134499308,9.091058962973982,908.732340413543,1273.3707106440631,169.90705931844653,0.5940285154225668,0.1190358762739526,0.0002020713837225,0.7374136957471125
