IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best,X,Y
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951022,-75.438146,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.589750233150777,44.40735225345163,5.616776843315234,1063.422295958014,3638.9900381296557,194.1502654767766,0.09973204377900256,0.25542044176946954,1.0426611605063358,19.854473482156997,-75.438146,4.951022
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951177,-75.437479,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.935995561341793,44.413376194349034,5.644464972303041,1067.664362317477,3640.78560113221,193.99807960176636,0.099726075966762,0.2587285771495792,1.0427738767153967,19.85570602425242,-75.437479,4.951177
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951214,-75.437326,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,15.014601288513141,44.41476586909379,5.6507796926753375,1068.6494922230593,3641.1907152564686,193.9572222444729,0.09972473472515672,0.2594954164580873,1.042798657585398,19.85596866082242,-75.437326,4.951214
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951646,-75.4292,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,17.99613777658932,44.48162923374451,6.061452244096623,1104.8753202097994,3664.763728510024,192.1110471414108,0.0960890957203381,0.28112699869933216,1.0444157126673497,19.876448393726847,-75.4292,4.951646
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951736,-75.438174,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.843064947337796,44.41045547666344,5.583719814316604,1067.2915438543962,3637.17654216099,192.42253995105781,0.09973945748032015,0.25854964200677283,1.0423649632770373,19.84858916721191,-75.438174,4.951736
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951881,-75.438193,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.88980337428361,44.410981028836645,5.576342588377045,1068.023167553077,3636.7679431926394,189.74764527859253,0.0997411010195114,0.25914430829653684,1.042301497046407,19.847346903882865,-75.438193,4.951881
Ocurrencia,Caldas,Villamaría,La Enea,4.951885,-75.42747,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,18.472622872013655,44.49662992132754,6.144662138744013,1108.0584426351322,3982.763345851275,191.43940697208518,0.0972613992042988,0.2826526696571148,1.0715114267182368,19.978379257570797,-75.42747,4.951885
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951934,-75.438499,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.779111335836955,44.408790893002994,5.558091571166679,1066.6322555622241,3438.6670696119977,189.4928654209253,0.09974510808159343,0.2580612548900859,1.0382173016804312,19.8142216176228,-75.438499,4.951934
Ocurrencia,Caldas,Villamaría,La Enea,4.956326,-75.43497,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,17.702763692179726,44.458033230062206,5.560218133499351,1124.1446722806843,3438.193291318925,183.629799757797,0.09974723773575327,0.30403960725123846,1.037467855016562,19.79437962400386,-75.43497,4.956326
Ocurrencia,Caldas,Villamaría,Villamaría,4.958201,-75.502174,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,50.6486637559739,43.96344127207797,3.023901620158192,638.7997394956458,2968.283366582626,175.70847495753995,0.7680991679550825,0.1520258161161056,0.9504599828253665,18.303555548581695,-75.502174,4.958201
Ocurrencia,Caldas,Villamaría,Villamaría,5.026054,-75.510112,Antimonio-Sb,Estibina o Antimonita-Sb2S3,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,57.11085365385632,44.28207915701948,1.9546745532719485,785.6454202742044,2632.169839001374,104.84223809396974,1.237122051086485,0.09941209714585299,0.9426086954960999,18.083355906813452,-75.510112,5.026054
Productor - Subterráneo,Caldas,Manizales,Manizales,5.038183,-75.402111,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,55.98156166562138,45.270985228870735,6.676607983422363,1038.92961893652,824.9903951917952,180.0548447299649,1.3631298024620304,0.12520640288333745,1.0264707223497878,2.1971634463560603,-75.402111,5.038183
Productor - Subterráneo,Caldas,Manizales,La Enea,5.048387,-75.409,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,47.11486714607192,45.29400838406231,6.485128749416575,969.8665713825576,800.5915618006708,206.32850726731587,1.2899933540408999,0.12838562557827535,1.0184188142983497,1.0595319804223642,-75.409,5.048387
Productor - Subterráneo,Caldas,Manizales,Manizales,5.049284,-75.407065,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,47.561068797127774,45.317913171250154,6.5959065390355445,979.317448788723,470.6417425767075,201.9879811415607,1.2931307161564622,0.12645388827370221,1.019000610441068,0.921816103668977,-75.407065,5.049284
Productor - Subterráneo,Caldas,Manizales,Manizales,5.05183,-75.408765,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,46.261484382149035,45.324331830887004,6.561075510439979,946.5878485908988,469.32593213768115,208.3213339889945,1.30024570349933,0.1267979394749128,1.0180605710995105,0.9196354338925096,-75.408765,5.05183
Ocurrencia,Caldas,Palestina,Palestina,5.052227,-75.61419,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,100.52250203080105,43.95857476438998,6.874895070780744,622.05189266682,481.3830635159165,126.56031841205194,2.060162617152369,0.10171384338015342,0.06711677140248071,1.2402908681224099,-75.61419,5.052227
