IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,X,Y
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950576,-75.439686,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.439686,4.950576
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950632,-75.438902,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438902,4.950632
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.95067,-75.437712,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437712,4.95067
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951012,-75.438732,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438732,4.951012
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951022,-75.438146,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438146,4.951022
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951177,-75.437479,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437479,4.951177
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951214,-75.437326,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437326,4.951214
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951646,-75.4292,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.4292,4.951646
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951736,-75.438174,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438174,4.951736
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951881,-75.438193,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438193,4.951881
